place_id,DEFICIENCY_HIGH,DEFICIENCY_MEDIUM_HIGH,DEFICIENCY_MEDIUM,DEFICIENCY_MEDIUM_LOW,DEFICIENCY_LOW,TOTAL_INSPECTIONS,TOTAL_ASSESSMENTS,TOTAL_CAPACITY,ISSUANCE_DATE,PROGRAMS_PROVIDED,ACCEPTS_CHILD_CARE_SUBSIDIES,CORRECTIVE_ACTION,ADVERSE_ACTION,TEMPORARILY_CLOSED,OPERATION_ID,OPERATION_NAME,CITY,ADDRESS_LINE,ZIPCODE,google_name,google_rating,google_review_count,review_count_returned,match_confidence,YEARS_IN_OPERATION,IS_ACCREDITED,ACCEPTS_SUBSIDIES,HAS_CORRECTIVE_ACTION,HAS_ADVERSE_ACTION,WAS_TEMP_CLOSED,TOTAL_DEFICIENCIES,DEFICIENCY_RATE,HIGH_DEFICIENCY_RATE
ChIJ-_Uth6b3XIYR3yZ1Mid9xKE,1,1,1,0,0,8,0,49,2025-03-05,"School Age Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care",Y,NO,NO,NO,1483871,EJ'S Kids Daycare and Learning Center LLC,SAN ANTONIO,1720 S WW WHITE RD,78220 4760,EJ'S Kids Daycare and Learning Center,5.0,13.0,5,high_confidence,0.8,0,1,0,0,0,3,0.375,0.125
ChIJ-b90-XDdQIYRrGURpqQljk4,2,7,5,0,0,16,1,80,2014-03-21,"Meals Provided ,Snacks Provided,Drop-In Care,Transportation to/from School ,Weekend Care",Y,NO,NO,NO,1123855,Hope's Children Academy,HOUSTON,8500 COOK RD STE H,77072 3944,Hope's Children Academy,4.5,19.0,5,high_confidence,11.8,0,1,0,0,0,14,0.875,0.125
ChIJ-bVih37AQIYRvWLZGuwXw6I,6,3,1,0,0,12,0,242,1990-10-26,"School Age Care,Accredited,Meals Provided ,Snacks Provided,Part Time Care",Y,NO,NO,NO,108792,Becker Early Childhood Center,HOUSTON,1500 SUNSET BLVD,77005 1845,Becker School,5.0,10.0,5,medium_confidence,35.2,1,1,0,0,0,10,0.833,0.5
ChIJ-bhDuN5eXIYRr11fuv9vaL8,2,10,6,0,0,15,0,56,1999-06-21,"Meals Provided ,Snacks Provided",N,NO,NO,NO,159058,Avance San Antonio CDC Frank Garrett,SAN ANTONIO,1226 NW 18TH ST,78207 1300,Frank Garrett Multi Service Center,4.3,82.0,5,medium_confidence,26.5,0,0,0,0,0,18,1.2,0.133
ChIJ-bxnDV91ToYR5XUh0v-7vnU,4,14,3,0,0,14,2,100,2017-02-22,"School Age Care,After School Care,Snacks Provided",Y,NO,NO,NO,1252549,Dozier Elementary - Northwest YMCA,FORT WORTH,6201 REDEAGEL CRK,76179,Dozier Elementary School,,,0,medium_confidence,8.9,0,1,0,0,0,21,1.5,0.286
ChIJ-cNSwrG_QIYR0L0pmu8O7hM,0,0,0,0,0,8,0,77,2023-05-08,"School Age Care,Meals Provided ,Snacks Provided",N,NO,NO,NO,1418498,Lockhart Elementary School,HOUSTON,3200 ROSEDALE ST,77004 6211,Lockhart Elementary School,,,0,high_confidence,2.7,0,0,0,0,0,0,0.0,0.0
ChIJ-cbbFEqJXIYRmPFsxMAz3oc,3,7,1,0,0,11,0,269,2024-07-11,"School Age Care,Accredited,Meals Provided ,After School Care,Snacks Provided,Part Time Care",N,NO,NO,NO,1471633,Montessori Kids Universe of Stone Oak,SAN ANTONIO,24170 US HIGHWAY 281 N,78258 7231,Montessori Kids Universe Stone Oak,4.8,91.0,5,high_confidence,1.5,1,0,0,0,0,11,1.0,0.273
ChIJ-em8DzJvToYRsWnKcRGGXTI,0,2,0,0,0,10,0,120,2022-12-19,"School Age Care,Before School Care,After School Care,Snacks Provided",Y,NO,NO,NO,1414685,KCE Champions LLC @ IDEA Southeast,FORT WORTH,2935 E SEMINARY DR,76119 5500,Champions at IDEA Southeast,,,0,high_confidence,3.0,0,1,0,0,0,2,0.2,0.0
ChIJ-fy3sJO5QIYR16XPuXkrYSg,4,13,11,2,1,10,2,60,1993-04-19,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,127224,Kids Plus Academy,HOUSTON,4506 LAURA KOPPE RD,77016 5035,Kids Plus Academy,4.2,6.0,5,high_confidence,32.7,0,1,0,0,0,31,3.1,0.4
ChIJ-w7ftCD3XIYRGgivw0VbB3E,4,4,2,1,0,13,1,78,2023-03-09,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care",Y,NO,NO,NO,1418104,Mama Bear Learning Center,SAN ANTONIO,3930 E SOUTHCROSS BLVD BLDG 2,78222 3520,Mama Bear Learning Center,4.7,17.0,5,high_confidence,2.8,0,1,0,0,0,11,0.846,0.308
ChIJ-wFCQ27eQIYRfJIrJ3YQYZE,2,4,2,0,0,6,0,153,2019-02-07,"School Age Care,Before School Care,Accredited,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,1313726,Grace Academy,HOUSTON,15401 BELLAIRE BLVD,77083 3014,Grace Academy Bellaire Blvd,5.0,9.0,5,medium_confidence,6.9,1,1,0,0,0,8,1.333,0.333
ChIJ-wJRbQnKRIYRw_IQyNdZpII,0,0,0,0,0,2,0,75,2025-08-06,"School Age Care,Part Time Care",N,NO,NO,NO,1510235,Copernicus STEM Academy,AUSTIN,4503 N INTERSTATE 35,78722 1001,Copernicus STEM Academy,4.8,25.0,5,high_confidence,0.4,0,0,0,0,0,0,0.0,0.0
